DateKey	Date	Day	Month	MonthShort	MonthNo	Quater	Year
20050208	2/8/2005	Tuesday	February	Feb	2	1	2019
20050209	2/9/2005	Wednesday	February	Feb	2	1	2019
20050210	2/10/2005	Thursday	February	Feb	2	1	2019
20050211	2/11/2005	Friday	February	Feb	2	1	2019
20050212	2/12/2005	Saturday	February	Feb	2	1	2019
20050213	2/13/2005	Sunday	February	Feb	2	1	2019
20050214	2/14/2005	Monday	February	Feb	2	1	2019
20050215	2/15/2005	Tuesday	February	Feb	2	1	2019
20050216	2/16/2005	Wednesday	February	Feb	2	1	2019
20050217	2/17/2005	Thursday	February	Feb	2	1	2019
20050218	2/18/2005	Friday	February	Feb	2	1	2019
20050219	2/19/2005	Saturday	February	Feb	2	1	2019
20050220	2/20/2005	Sunday	February	Feb	2	1	2019
20050221	2/21/2005	Monday	February	Feb	2	1	2019
20050222	2/22/2005	Tuesday	February	Feb	2	1	2019
20050223	2/23/2005	Wednesday	February	Feb	2	1	2019
20050224	2/24/2005	Thursday	February	Feb	2	1	2019
20050225	2/25/2005	Friday	February	Feb	2	1	2019
20050226	2/26/2005	Saturday	February	Feb	2	1	2019
20050227	2/27/2005	Sunday	February	Feb	2	1	2019
20050228	2/28/2005	Monday	February	Feb	2	1	2019
20050301	3/1/2005	Tuesday	March	Mar	3	1	2019
20050302	3/2/2005	Wednesday	March	Mar	3	1	2019
20050303	3/3/2005	Thursday	March	Mar	3	1	2019
20050304	3/4/2005	Friday	March	Mar	3	1	2019
20050305	3/5/2005	Saturday	March	Mar	3	1	2019
20050306	3/6/2005	Sunday	March	Mar	3	1	2019
20050307	3/7/2005	Monday	March	Mar	3	1	2019
20050308	3/8/2005	Tuesday	March	Mar	3	1	2019
20050309	3/9/2005	Wednesday	March	Mar	3	1	2019
20050310	3/10/2005	Thursday	March	Mar	3	1	2019
20050311	3/11/2005	Friday	March	Mar	3	1	2019
20050312	3/12/2005	Saturday	March	Mar	3	1	2019
20050313	3/13/2005	Sunday	March	Mar	3	1	2019
20050314	3/14/2005	Monday	March	Mar	3	1	2019
20050315	3/15/2005	Tuesday	March	Mar	3	1	2019
20050316	3/16/2005	Wednesday	March	Mar	3	1	2019
20050317	3/17/2005	Thursday	March	Mar	3	1	2019
20050318	3/18/2005	Friday	March	Mar	3	1	2019
20050319	3/19/2005	Saturday	March	Mar	3	1	2019
20050320	3/20/2005	Sunday	March	Mar	3	1	2019
20050321	3/21/2005	Monday	March	Mar	3	1	2019
20050322	3/22/2005	Tuesday	March	Mar	3	1	2019
20050323	3/23/2005	Wednesday	March	Mar	3	1	2019
20050324	3/24/2005	Thursday	March	Mar	3	1	2019
20050325	3/25/2005	Friday	March	Mar	3	1	2019
20050326	3/26/2005	Saturday	March	Mar	3	1	2019
20050327	3/27/2005	Sunday	March	Mar	3	1	2019
20050328	3/28/2005	Monday	March	Mar	3	1	2019
20050329	3/29/2005	Tuesday	March	Mar	3	1	2019
20050330	3/30/2005	Wednesday	March	Mar	3	1	2019
20050331	3/31/2005	Thursday	March	Mar	3	1	2019
20050401	4/1/2005	Friday	April	Apr	4	2	2019
20050402	4/2/2005	Saturday	April	Apr	4	2	2019
20050403	4/3/2005	Sunday	April	Apr	4	2	2019
20050404	4/4/2005	Monday	April	Apr	4	2	2019
20050405	4/5/2005	Tuesday	April	Apr	4	2	2019
20050406	4/6/2005	Wednesday	April	Apr	4	2	2019
20050407	4/7/2005	Thursday	April	Apr	4	2	2019
20050408	4/8/2005	Friday	April	Apr	4	2	2019
20050409	4/9/2005	Saturday	April	Apr	4	2	2019
20050410	4/10/2005	Sunday	April	Apr	4	2	2019
20050411	4/11/2005	Monday	April	Apr	4	2	2019
20050412	4/12/2005	Tuesday	April	Apr	4	2	2019
20050413	4/13/2005	Wednesday	April	Apr	4	2	2019
20050414	4/14/2005	Thursday	April	Apr	4	2	2019
20050415	4/15/2005	Friday	April	Apr	4	2	2019
20050416	4/16/2005	Saturday	April	Apr	4	2	2019
20050417	4/17/2005	Sunday	April	Apr	4	2	2019
20050418	4/18/2005	Monday	April	Apr	4	2	2019
20050419	4/19/2005	Tuesday	April	Apr	4	2	2019
20050420	4/20/2005	Wednesday	April	Apr	4	2	2019
20050421	4/21/2005	Thursday	April	Apr	4	2	2019
20050422	4/22/2005	Friday	April	Apr	4	2	2019
20050423	4/23/2005	Saturday	April	Apr	4	2	2019
20050424	4/24/2005	Sunday	April	Apr	4	2	2019
20050425	4/25/2005	Monday	April	Apr	4	2	2019
20050426	4/26/2005	Tuesday	April	Apr	4	2	2019
20050427	4/27/2005	Wednesday	April	Apr	4	2	2019
20050428	4/28/2005	Thursday	April	Apr	4	2	2019
20050429	4/29/2005	Friday	April	Apr	4	2	2019
20050430	4/30/2005	Saturday	April	Apr	4	2	2019
20050501	5/1/2005	Sunday	May	May	5	2	2019
20050502	5/2/2005	Monday	May	May	5	2	2019
20050503	5/3/2005	Tuesday	May	May	5	2	2019
20050504	5/4/2005	Wednesday	May	May	5	2	2019
20050505	5/5/2005	Thursday	May	May	5	2	2019
20050506	5/6/2005	Friday	May	May	5	2	2019
20050507	5/7/2005	Saturday	May	May	5	2	2019
20050508	5/8/2005	Sunday	May	May	5	2	2019
20050509	5/9/2005	Monday	May	May	5	2	2019
20050510	5/10/2005	Tuesday	May	May	5	2	2019
20050511	5/11/2005	Wednesday	May	May	5	2	2019
20050512	5/12/2005	Thursday	May	May	5	2	2019
20050513	5/13/2005	Friday	May	May	5	2	2019
20050514	5/14/2005	Saturday	May	May	5	2	2019
20050515	5/15/2005	Sunday	May	May	5	2	2019
20050516	5/16/2005	Monday	May	May	5	2	2019
20050517	5/17/2005	Tuesday	May	May	5	2	2019
20050518	5/18/2005	Wednesday	May	May	5	2	2019
20050519	5/19/2005	Thursday	May	May	5	2	2019
20050520	5/20/2005	Friday	May	May	5	2	2019
20050521	5/21/2005	Saturday	May	May	5	2	2019
20050522	5/22/2005	Sunday	May	May	5	2	2019
20050523	5/23/2005	Monday	May	May	5	2	2019
20050524	5/24/2005	Tuesday	May	May	5	2	2019
20050525	5/25/2005	Wednesday	May	May	5	2	2019
20050526	5/26/2005	Thursday	May	May	5	2	2019
20050527	5/27/2005	Friday	May	May	5	2	2019
20050528	5/28/2005	Saturday	May	May	5	2	2019
20050529	5/29/2005	Sunday	May	May	5	2	2019
20050530	5/30/2005	Monday	May	May	5	2	2019
20050531	5/31/2005	Tuesday	May	May	5	2	2019
20050601	6/1/2005	Wednesday	June	Jun	6	2	2019
20050602	6/2/2005	Thursday	June	Jun	6	2	2019
20050603	6/3/2005	Friday	June	Jun	6	2	2019
20050604	6/4/2005	Saturday	June	Jun	6	2	2019
20050605	6/5/2005	Sunday	June	Jun	6	2	2019
20050606	6/6/2005	Monday	June	Jun	6	2	2019
20050607	6/7/2005	Tuesday	June	Jun	6	2	2019
20050608	6/8/2005	Wednesday	June	Jun	6	2	2019
20050609	6/9/2005	Thursday	June	Jun	6	2	2019
20050610	6/10/2005	Friday	June	Jun	6	2	2019
20050611	6/11/2005	Saturday	June	Jun	6	2	2019
20050612	6/12/2005	Sunday	June	Jun	6	2	2019
20050613	6/13/2005	Monday	June	Jun	6	2	2019
20050614	6/14/2005	Tuesday	June	Jun	6	2	2019
20050615	6/15/2005	Wednesday	June	Jun	6	2	2019
20050616	6/16/2005	Thursday	June	Jun	6	2	2019
20050617	6/17/2005	Friday	June	Jun	6	2	2019
20050618	6/18/2005	Saturday	June	Jun	6	2	2019
20050619	6/19/2005	Sunday	June	Jun	6	2	2019
20050620	6/20/2005	Monday	June	Jun	6	2	2019
20050621	6/21/2005	Tuesday	June	Jun	6	2	2019
20050622	6/22/2005	Wednesday	June	Jun	6	2	2019
20050623	6/23/2005	Thursday	June	Jun	6	2	2019
20050624	6/24/2005	Friday	June	Jun	6	2	2019
20050625	6/25/2005	Saturday	June	Jun	6	2	2019
20050626	6/26/2005	Sunday	June	Jun	6	2	2019
20050627	6/27/2005	Monday	June	Jun	6	2	2019
20050628	6/28/2005	Tuesday	June	Jun	6	2	2019
20050629	6/29/2005	Wednesday	June	Jun	6	2	2019
20050630	6/30/2005	Thursday	June	Jun	6	2	2019
20050701	7/1/2005	Friday	July	Jul	7	3	2019
20050702	7/2/2005	Saturday	July	Jul	7	3	2019
20050703	7/3/2005	Sunday	July	Jul	7	3	2019
20050704	7/4/2005	Monday	July	Jul	7	3	2019
20050705	7/5/2005	Tuesday	July	Jul	7	3	2019
20050706	7/6/2005	Wednesday	July	Jul	7	3	2019
20050707	7/7/2005	Thursday	July	Jul	7	3	2019
20050708	7/8/2005	Friday	July	Jul	7	3	2019
20050709	7/9/2005	Saturday	July	Jul	7	3	2019
20050710	7/10/2005	Sunday	July	Jul	7	3	2019
20050711	7/11/2005	Monday	July	Jul	7	3	2019
20050712	7/12/2005	Tuesday	July	Jul	7	3	2019
20050713	7/13/2005	Wednesday	July	Jul	7	3	2019
20050714	7/14/2005	Thursday	July	Jul	7	3	2019
20050715	7/15/2005	Friday	July	Jul	7	3	2019
20050716	7/16/2005	Saturday	July	Jul	7	3	2019
20050717	7/17/2005	Sunday	July	Jul	7	3	2019
20050718	7/18/2005	Monday	July	Jul	7	3	2019
20050719	7/19/2005	Tuesday	July	Jul	7	3	2019
20050720	7/20/2005	Wednesday	July	Jul	7	3	2019
20050721	7/21/2005	Thursday	July	Jul	7	3	2019
20050722	7/22/2005	Friday	July	Jul	7	3	2019
20050723	7/23/2005	Saturday	July	Jul	7	3	2019
20050724	7/24/2005	Sunday	July	Jul	7	3	2019
20050725	7/25/2005	Monday	July	Jul	7	3	2019
20050726	7/26/2005	Tuesday	July	Jul	7	3	2019
20050727	7/27/2005	Wednesday	July	Jul	7	3	2019
20050728	7/28/2005	Thursday	July	Jul	7	3	2019
20050729	7/29/2005	Friday	July	Jul	7	3	2019
20050730	7/30/2005	Saturday	July	Jul	7	3	2019
20050731	7/31/2005	Sunday	July	Jul	7	3	2019
20050801	8/1/2005	Monday	August	Aug	8	3	2019
20050802	8/2/2005	Tuesday	August	Aug	8	3	2019
20050803	8/3/2005	Wednesday	August	Aug	8	3	2019
20050804	8/4/2005	Thursday	August	Aug	8	3	2019
20050805	8/5/2005	Friday	August	Aug	8	3	2019
20050806	8/6/2005	Saturday	August	Aug	8	3	2019
20050807	8/7/2005	Sunday	August	Aug	8	3	2019
20050808	8/8/2005	Monday	August	Aug	8	3	2019
20050809	8/9/2005	Tuesday	August	Aug	8	3	2019
20050810	8/10/2005	Wednesday	August	Aug	8	3	2019
20050811	8/11/2005	Thursday	August	Aug	8	3	2019
20050812	8/12/2005	Friday	August	Aug	8	3	2019
20050813	8/13/2005	Saturday	August	Aug	8	3	2019
20050814	8/14/2005	Sunday	August	Aug	8	3	2019
20050815	8/15/2005	Monday	August	Aug	8	3	2019
20050816	8/16/2005	Tuesday	August	Aug	8	3	2019
20050817	8/17/2005	Wednesday	August	Aug	8	3	2019
20050818	8/18/2005	Thursday	August	Aug	8	3	2019
20050819	8/19/2005	Friday	August	Aug	8	3	2019
20050820	8/20/2005	Saturday	August	Aug	8	3	2019
20050821	8/21/2005	Sunday	August	Aug	8	3	2019
20050822	8/22/2005	Monday	August	Aug	8	3	2019
20050823	8/23/2005	Tuesday	August	Aug	8	3	2019
20050824	8/24/2005	Wednesday	August	Aug	8	3	2019
20050825	8/25/2005	Thursday	August	Aug	8	3	2019
20050826	8/26/2005	Friday	August	Aug	8	3	2019
20050827	8/27/2005	Saturday	August	Aug	8	3	2019
20050828	8/28/2005	Sunday	August	Aug	8	3	2019
20050829	8/29/2005	Monday	August	Aug	8	3	2019
20050830	8/30/2005	Tuesday	August	Aug	8	3	2019
20050831	8/31/2005	Wednesday	August	Aug	8	3	2019
20050901	9/1/2005	Thursday	September	Sep	9	3	2019
20050902	9/2/2005	Friday	September	Sep	9	3	2019
20050903	9/3/2005	Saturday	September	Sep	9	3	2019
20050904	9/4/2005	Sunday	September	Sep	9	3	2019
20050905	9/5/2005	Monday	September	Sep	9	3	2019
20050906	9/6/2005	Tuesday	September	Sep	9	3	2019
20050907	9/7/2005	Wednesday	September	Sep	9	3	2019
20050908	9/8/2005	Thursday	September	Sep	9	3	2019
20050909	9/9/2005	Friday	September	Sep	9	3	2019
20050910	9/10/2005	Saturday	September	Sep	9	3	2019
20050911	9/11/2005	Sunday	September	Sep	9	3	2019
20050912	9/12/2005	Monday	September	Sep	9	3	2019
20050913	9/13/2005	Tuesday	September	Sep	9	3	2019
20050914	9/14/2005	Wednesday	September	Sep	9	3	2019
20050915	9/15/2005	Thursday	September	Sep	9	3	2019
20050916	9/16/2005	Friday	September	Sep	9	3	2019
20050917	9/17/2005	Saturday	September	Sep	9	3	2019
20050918	9/18/2005	Sunday	September	Sep	9	3	2019
20050919	9/19/2005	Monday	September	Sep	9	3	2019
20050920	9/20/2005	Tuesday	September	Sep	9	3	2019
20050921	9/21/2005	Wednesday	September	Sep	9	3	2019
20050922	9/22/2005	Thursday	September	Sep	9	3	2019
20050923	9/23/2005	Friday	September	Sep	9	3	2019
20050924	9/24/2005	Saturday	September	Sep	9	3	2019
20050925	9/25/2005	Sunday	September	Sep	9	3	2019
20050926	9/26/2005	Monday	September	Sep	9	3	2019
20050927	9/27/2005	Tuesday	September	Sep	9	3	2019
20050928	9/28/2005	Wednesday	September	Sep	9	3	2019
20050929	9/29/2005	Thursday	September	Sep	9	3	2019
20050930	9/30/2005	Friday	September	Sep	9	3	2019
20051001	10/1/2005	Saturday	October	Oct	10	4	2019
20051002	10/2/2005	Sunday	October	Oct	10	4	2019
20051003	10/3/2005	Monday	October	Oct	10	4	2019
20051004	10/4/2005	Tuesday	October	Oct	10	4	2019
20051005	10/5/2005	Wednesday	October	Oct	10	4	2019
20051006	10/6/2005	Thursday	October	Oct	10	4	2019
20051007	10/7/2005	Friday	October	Oct	10	4	2019
20051008	10/8/2005	Saturday	October	Oct	10	4	2019
20051009	10/9/2005	Sunday	October	Oct	10	4	2019
20051010	10/10/2005	Monday	October	Oct	10	4	2019
20051011	10/11/2005	Tuesday	October	Oct	10	4	2019
20051012	10/12/2005	Wednesday	October	Oct	10	4	2019
20051013	10/13/2005	Thursday	October	Oct	10	4	2019
20051014	10/14/2005	Friday	October	Oct	10	4	2019
20051015	10/15/2005	Saturday	October	Oct	10	4	2019
20051016	10/16/2005	Sunday	October	Oct	10	4	2019
20051017	10/17/2005	Monday	October	Oct	10	4	2019
20051018	10/18/2005	Tuesday	October	Oct	10	4	2019
20051019	10/19/2005	Wednesday	October	Oct	10	4	2019
20051020	10/20/2005	Thursday	October	Oct	10	4	2019
20051021	10/21/2005	Friday	October	Oct	10	4	2019
20051022	10/22/2005	Saturday	October	Oct	10	4	2019
20051023	10/23/2005	Sunday	October	Oct	10	4	2019
20051024	10/24/2005	Monday	October	Oct	10	4	2019
20051025	10/25/2005	Tuesday	October	Oct	10	4	2019
20051026	10/26/2005	Wednesday	October	Oct	10	4	2019
20051027	10/27/2005	Thursday	October	Oct	10	4	2019
20051028	10/28/2005	Friday	October	Oct	10	4	2019
20051029	10/29/2005	Saturday	October	Oct	10	4	2019
20051030	10/30/2005	Sunday	October	Oct	10	4	2019
20051031	10/31/2005	Monday	October	Oct	10	4	2019
20051101	11/1/2005	Tuesday	November	Nov	11	4	2019
20051102	11/2/2005	Wednesday	November	Nov	11	4	2019
20051103	11/3/2005	Thursday	November	Nov	11	4	2019
20051104	11/4/2005	Friday	November	Nov	11	4	2019
20051105	11/5/2005	Saturday	November	Nov	11	4	2019
20051106	11/6/2005	Sunday	November	Nov	11	4	2019
20051107	11/7/2005	Monday	November	Nov	11	4	2019
20051108	11/8/2005	Tuesday	November	Nov	11	4	2019
20051109	11/9/2005	Wednesday	November	Nov	11	4	2019
20051110	11/10/2005	Thursday	November	Nov	11	4	2019
20051111	11/11/2005	Friday	November	Nov	11	4	2019
20051112	11/12/2005	Saturday	November	Nov	11	4	2019
20051113	11/13/2005	Sunday	November	Nov	11	4	2019
20051114	11/14/2005	Monday	November	Nov	11	4	2019
20051115	11/15/2005	Tuesday	November	Nov	11	4	2019
20051116	11/16/2005	Wednesday	November	Nov	11	4	2019
20051117	11/17/2005	Thursday	November	Nov	11	4	2019
20051118	11/18/2005	Friday	November	Nov	11	4	2019
20051119	11/19/2005	Saturday	November	Nov	11	4	2019
20051120	11/20/2005	Sunday	November	Nov	11	4	2019
20051121	11/21/2005	Monday	November	Nov	11	4	2019
20051122	11/22/2005	Tuesday	November	Nov	11	4	2019
20051123	11/23/2005	Wednesday	November	Nov	11	4	2019
20051124	11/24/2005	Thursday	November	Nov	11	4	2019
20051125	11/25/2005	Friday	November	Nov	11	4	2019
20051126	11/26/2005	Saturday	November	Nov	11	4	2019
20051127	11/27/2005	Sunday	November	Nov	11	4	2019
20051128	11/28/2005	Monday	November	Nov	11	4	2019
20051129	11/29/2005	Tuesday	November	Nov	11	4	2019
20051130	11/30/2005	Wednesday	November	Nov	11	4	2019
20051201	12/1/2005	Thursday	December	Dec	12	4	2019
20051202	12/2/2005	Friday	December	Dec	12	4	2019
20051203	12/3/2005	Saturday	December	Dec	12	4	2019
20051204	12/4/2005	Sunday	December	Dec	12	4	2019
20051205	12/5/2005	Monday	December	Dec	12	4	2019
20051206	12/6/2005	Tuesday	December	Dec	12	4	2019
20051207	12/7/2005	Wednesday	December	Dec	12	4	2019
20051208	12/8/2005	Thursday	December	Dec	12	4	2019
20051209	12/9/2005	Friday	December	Dec	12	4	2019
20051210	12/10/2005	Saturday	December	Dec	12	4	2019
20051211	12/11/2005	Sunday	December	Dec	12	4	2019
20051212	12/12/2005	Monday	December	Dec	12	4	2019
20051213	12/13/2005	Tuesday	December	Dec	12	4	2019
20051214	12/14/2005	Wednesday	December	Dec	12	4	2019
20051215	12/15/2005	Thursday	December	Dec	12	4	2019
20051216	12/16/2005	Friday	December	Dec	12	4	2019
20051217	12/17/2005	Saturday	December	Dec	12	4	2019
20051218	12/18/2005	Sunday	December	Dec	12	4	2019
20051219	12/19/2005	Monday	December	Dec	12	4	2019
20051220	12/20/2005	Tuesday	December	Dec	12	4	2019
20051221	12/21/2005	Wednesday	December	Dec	12	4	2019
20051222	12/22/2005	Thursday	December	Dec	12	4	2019
20051223	12/23/2005	Friday	December	Dec	12	4	2019
20051224	12/24/2005	Saturday	December	Dec	12	4	2019
20051225	12/25/2005	Sunday	December	Dec	12	4	2019
20051226	12/26/2005	Monday	December	Dec	12	4	2019
20051227	12/27/2005	Tuesday	December	Dec	12	4	2019
20051228	12/28/2005	Wednesday	December	Dec	12	4	2019
20051229	12/29/2005	Thursday	December	Dec	12	4	2019
20051230	12/30/2005	Friday	December	Dec	12	4	2019
20051231	12/31/2005	Saturday	December	Dec	12	4	2019
20060101	1/1/2006	Sunday	January	Jan	1	1	2019
20060102	1/2/2006	Monday	January	Jan	1	1	2019
20060103	1/3/2006	Tuesday	January	Jan	1	1	2019
20060104	1/4/2006	Wednesday	January	Jan	1	1	2019
20060105	1/5/2006	Thursday	January	Jan	1	1	2019
20060106	1/6/2006	Friday	January	Jan	1	1	2019
20060107	1/7/2006	Saturday	January	Jan	1	1	2019
20060108	1/8/2006	Sunday	January	Jan	1	1	2019
20060109	1/9/2006	Monday	January	Jan	1	1	2019
20060110	1/10/2006	Tuesday	January	Jan	1	1	2019
20060111	1/11/2006	Wednesday	January	Jan	1	1	2019
20060112	1/12/2006	Thursday	January	Jan	1	1	2019
20060113	1/13/2006	Friday	January	Jan	1	1	2019
20060114	1/14/2006	Saturday	January	Jan	1	1	2019
20060115	1/15/2006	Sunday	January	Jan	1	1	2019
20060116	1/16/2006	Monday	January	Jan	1	1	2019
20060117	1/17/2006	Tuesday	January	Jan	1	1	2019
20060118	1/18/2006	Wednesday	January	Jan	1	1	2019
20060119	1/19/2006	Thursday	January	Jan	1	1	2019
20060120	1/20/2006	Friday	January	Jan	1	1	2019
20060121	1/21/2006	Saturday	January	Jan	1	1	2019
20060122	1/22/2006	Sunday	January	Jan	1	1	2019
20060123	1/23/2006	Monday	January	Jan	1	1	2019
20060124	1/24/2006	Tuesday	January	Jan	1	1	2019
20060125	1/25/2006	Wednesday	January	Jan	1	1	2019
20060126	1/26/2006	Thursday	January	Jan	1	1	2019
20060127	1/27/2006	Friday	January	Jan	1	1	2019
20060128	1/28/2006	Saturday	January	Jan	1	1	2019
20060129	1/29/2006	Sunday	January	Jan	1	1	2019
20060130	1/30/2006	Monday	January	Jan	1	1	2019
20060131	1/31/2006	Tuesday	January	Jan	1	1	2019
20060201	2/1/2006	Wednesday	February	Feb	2	1	2019
20060202	2/2/2006	Thursday	February	Feb	2	1	2019
20060203	2/3/2006	Friday	February	Feb	2	1	2019
20060204	2/4/2006	Saturday	February	Feb	2	1	2019
20060205	2/5/2006	Sunday	February	Feb	2	1	2019
20060206	2/6/2006	Monday	February	Feb	2	1	2019
20060207	2/7/2006	Tuesday	February	Feb	2	1	2019
20060208	2/8/2006	Wednesday	February	Feb	2	1	2019
20060209	2/9/2006	Thursday	February	Feb	2	1	2019
20060210	2/10/2006	Friday	February	Feb	2	1	2019
20060211	2/11/2006	Saturday	February	Feb	2	1	2019
20060212	2/12/2006	Sunday	February	Feb	2	1	2019
20060213	2/13/2006	Monday	February	Feb	2	1	2019
20060214	2/14/2006	Tuesday	February	Feb	2	1	2019
20060215	2/15/2006	Wednesday	February	Feb	2	1	2019
20060216	2/16/2006	Thursday	February	Feb	2	1	2019
20060217	2/17/2006	Friday	February	Feb	2	1	2019
20060218	2/18/2006	Saturday	February	Feb	2	1	2019
20060219	2/19/2006	Sunday	February	Feb	2	1	2019
20060220	2/20/2006	Monday	February	Feb	2	1	2019
20060221	2/21/2006	Tuesday	February	Feb	2	1	2019
20060222	2/22/2006	Wednesday	February	Feb	2	1	2019
20060223	2/23/2006	Thursday	February	Feb	2	1	2019
20060224	2/24/2006	Friday	February	Feb	2	1	2019
20060225	2/25/2006	Saturday	February	Feb	2	1	2019
20060226	2/26/2006	Sunday	February	Feb	2	1	2019
20060227	2/27/2006	Monday	February	Feb	2	1	2019
20060228	2/28/2006	Tuesday	February	Feb	2	1	2019
20060301	3/1/2006	Wednesday	March	Mar	3	1	2019
20060302	3/2/2006	Thursday	March	Mar	3	1	2019
20060303	3/3/2006	Friday	March	Mar	3	1	2019
20060304	3/4/2006	Saturday	March	Mar	3	1	2019
20060305	3/5/2006	Sunday	March	Mar	3	1	2019
20060306	3/6/2006	Monday	March	Mar	3	1	2019
20060307	3/7/2006	Tuesday	March	Mar	3	1	2019
20060308	3/8/2006	Wednesday	March	Mar	3	1	2019
20060309	3/9/2006	Thursday	March	Mar	3	1	2019
20060310	3/10/2006	Friday	March	Mar	3	1	2019
20060311	3/11/2006	Saturday	March	Mar	3	1	2019
20060312	3/12/2006	Sunday	March	Mar	3	1	2019
20060313	3/13/2006	Monday	March	Mar	3	1	2019
20060314	3/14/2006	Tuesday	March	Mar	3	1	2019
20060315	3/15/2006	Wednesday	March	Mar	3	1	2019
20060316	3/16/2006	Thursday	March	Mar	3	1	2019
20060317	3/17/2006	Friday	March	Mar	3	1	2019
20060318	3/18/2006	Saturday	March	Mar	3	1	2019
20060319	3/19/2006	Sunday	March	Mar	3	1	2019
20060320	3/20/2006	Monday	March	Mar	3	1	2019
20060321	3/21/2006	Tuesday	March	Mar	3	1	2019
20060322	3/22/2006	Wednesday	March	Mar	3	1	2019
20060323	3/23/2006	Thursday	March	Mar	3	1	2019
20060324	3/24/2006	Friday	March	Mar	3	1	2019
20060325	3/25/2006	Saturday	March	Mar	3	1	2019
20060326	3/26/2006	Sunday	March	Mar	3	1	2019
20060327	3/27/2006	Monday	March	Mar	3	1	2019
20060328	3/28/2006	Tuesday	March	Mar	3	1	2019
20060329	3/29/2006	Wednesday	March	Mar	3	1	2019
20060330	3/30/2006	Thursday	March	Mar	3	1	2019
20060331	3/31/2006	Friday	March	Mar	3	1	2019
20060401	4/1/2006	Saturday	April	Apr	4	2	2019
20060402	4/2/2006	Sunday	April	Apr	4	2	2019
20060403	4/3/2006	Monday	April	Apr	4	2	2019
20060404	4/4/2006	Tuesday	April	Apr	4	2	2019
20060405	4/5/2006	Wednesday	April	Apr	4	2	2019
20060406	4/6/2006	Thursday	April	Apr	4	2	2019
20060407	4/7/2006	Friday	April	Apr	4	2	2019
20060408	4/8/2006	Saturday	April	Apr	4	2	2019
20060409	4/9/2006	Sunday	April	Apr	4	2	2019
20060410	4/10/2006	Monday	April	Apr	4	2	2019
20060411	4/11/2006	Tuesday	April	Apr	4	2	2019
20060412	4/12/2006	Wednesday	April	Apr	4	2	2019
20060413	4/13/2006	Thursday	April	Apr	4	2	2019
20060414	4/14/2006	Friday	April	Apr	4	2	2019
20060415	4/15/2006	Saturday	April	Apr	4	2	2019
20060416	4/16/2006	Sunday	April	Apr	4	2	2019
20060417	4/17/2006	Monday	April	Apr	4	2	2019
20060418	4/18/2006	Tuesday	April	Apr	4	2	2019
20060419	4/19/2006	Wednesday	April	Apr	4	2	2019
20060420	4/20/2006	Thursday	April	Apr	4	2	2019
20060421	4/21/2006	Friday	April	Apr	4	2	2019
20060422	4/22/2006	Saturday	April	Apr	4	2	2019
20060423	4/23/2006	Sunday	April	Apr	4	2	2019
20060424	4/24/2006	Monday	April	Apr	4	2	2019
20060425	4/25/2006	Tuesday	April	Apr	4	2	2019
20060426	4/26/2006	Wednesday	April	Apr	4	2	2019
20060427	4/27/2006	Thursday	April	Apr	4	2	2019
